CREATE VIEW
Q5 - fornecedores com maior total pago (57a legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 30
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_30 
-----------+--------------+-------------+--------------+------------
      2023 |        20101 |      213240 | 245280034.40 |      31.58
      2024 |        21102 |      220401 | 263302700.07 |      28.81
      2025 |        20996 |      200157 | 249254389.30 |      24.07
      2026 |        13463 |       59581 |  80671674.70 |      12.13
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                  fornecedor                  | qtd_lancamentos | total_pago  | pct_total 
 GLOBAL    |      20 | WMS ARTIGOS PAPELARIA                      |            2577 |  1739584.81 |      0.21
 GLOBAL    |      21 | CTA CLEITON TAXI AEREO                     |              65 |  1690120.00 |      0.20
 GLOBAL    |      22 | MAIS PROPAGANDA                            |              74 |  1601815.60 |      0.19
 GLOBAL    |      23 | CARNAUBA ASSESSORIA COM PIBLICIDADE        |              39 |  1558685.29 |      0.19
 GLOBAL    |      24 | FRAME COMUNICACAO DIGITAL                  |              85 |  1553836.63 |      0.19
 GLOBAL    |      25 | TELEFONICA BRASIL                          |            3183 |  1542770.62 |      0.18
 GLOBAL    |      26 | HORIZONTE 16 LOCADORA VEICULOS             |             158 |  1480015.02 |      0.18
 GLOBAL    |      27 | NOVITTA RENT A CAR TRANSPORTE              |             223 |  1433180.23 |      0.17
 GLOBAL    |      28 | FLEX MARKETING DIRETO                      |             206 |  1409625.40 |      0.17
 GLOBAL    |      29 | ELF LOCADORA VEICULOS                      |             263 |  1386970.51 |      0.17
 GLOBAL    |      30 | LIBRE COMUNICACAO MARKETING                |             174 |  1370566.40 |      0.16
(30 rows)

