CREATE VIEW
Q5 - fornecedores com maior total pago (57a Legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 10
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_10 
-----------+--------------+-------------+--------------+------------
      2023 |        21868 |      213240 | 245280034.40 |      26.57
      2024 |        22288 |      220401 | 263302700.07 |      23.76
      2025 |        21953 |      200157 | 249254389.30 |      18.63
      2026 |        12813 |       51963 |  70012026.95 |       6.25
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                         fornecedor                          | cnpj_cpf | qtd_lancamentos | total_pago  | pct_total 
      2026 |      13 | TAXI AEREO VALE DO MADEIRA                                  |          |               5 |   200000.00 |      0.29
      2026 |      14 | A DE LIMA CARDOSO                                           |          |              13 |   195786.80 |      0.28
      2026 |      15 | Pontual Loc Car ltda                                        |          |              35 |   195582.00 |      0.28
      2026 |      16 | AUTO LESTE LTDA                                             |          |              16 |   195000.00 |      0.28
      2026 |      17 | NOVITTA RENT A CAR TRANSPORTE LTDA ME                       |          |              28 |   189500.00 |      0.27
      2026 |      18 | AMAZON STUDIO E PRODUÇOES LTDA                              |          |               8 |   179000.00 |      0.26
      2026 |      19 | MULTIPLICAR E SERVIÇOS LTDA EPP                             |          |              11 |   178250.00 |      0.25
      2026 |      20 | EVAG COMUNICAÇÃO E TECNOLOGIA LTDA                          |          |              22 |   172146.40 |      0.25
      2026 |      21 | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                    |          |               4 |   172000.00 |      0.25
      2026 |      22 | FRAME COMUNICACAO DIGITAL LTDA                              |          |               9 |   168531.63 |      0.24
      2026 |      23 | CK INFO DESIGN E MIDIA SOCIAIS                              |          |               8 |   163000.00 |      0.23
      2026 |      24 | MAXIMA IMPRESSAO RAPIDO, MARKETING DIGITAL & DIVULGACAO LT  |          |               5 |   160128.00 |      0.23
      2026 |      25 | N N Y MARKETING DIRETO E SOLUÇÕES INTELIGENTES LTDA         |          |               7 |   160000.00 |      0.23
      2026 |      26 | IMS SERVIÇOS EIRELI                                         |          |               3 |   159000.00 |      0.23
      2026 |      27 | FLEX MARKETING DIRETO LTDA                                  |          |              24 |   150600.00 |      0.22
      2026 |      28 | S7 Ltda                                                     |          |               5 |   149000.00 |      0.21
      2026 |      29 | JH FILMES E MIDIA DIGITAL LTDA                              |          |               7 |   146000.00 |      0.21
      2026 |      30 | AMAZONAVES TAXI AEREO LTDA                                  |          |               3 |   143758.00 |      0.21
(120 rows)


Ranking global - todos os anos da 57a legislatura consolidados
 ano_dados | posicao |                                                                   fornecedor                                                                   | cnpj_cpf | qtd_lancamentos | total_pago  | pct_total 
-----------+---------+------------------------------------------------------------------------------------------------------------------------------------------------+----------+-----------------+-------------+-----------
 GLOBAL    |       1 | TAM                                                                                                                                            |          |           79165 | 87623918.91 |     10.58
 GLOBAL    |       2 | GOL                                                                                                                                            |          |           24162 | 31469380.06 |      3.80
 GLOBAL    |       3 | AZUL                                                                                                                                           |          |           21786 | 23394546.38 |      2.83
 GLOBAL    |       4 | PANTANAL VEÍCULOS LTDA                                                                                                                         |          |            2392 | 10278960.96 |      1.24
 GLOBAL    |       5 | SUPREMA MOBILIDADE LTDA                                                                                                                        |          |             926 |  5036741.87 |      0.61
 GLOBAL    |       6 | HPE AUTOMOTORES DO BRASIL LTDA                                                                                                                 |          |             444 |  3884932.77 |      0.47
 GLOBAL    |       7 | Facebook Serviços Online do Brasil Ltda.                                                                                                       |          |             791 |  3220589.15 |      0.39
 GLOBAL    |       8 | VIA LOCADORA DE AUTOMOVEIS LTDA                                                                                                                |          |             542 |  2916990.56 |      0.35
 GLOBAL    |       9 | ELDORADO COMUNICACAO E JORNALISMO LTDA                                                                                                         |          |             474 |  2851584.64 |      0.34
 GLOBAL    |      10 | DALETH VEICULOS LTDA EPP                                                                                                                       |          |             593 |  2600367.10 |      0.31
 GLOBAL    |      11 | NOVACAR LOCADORA DE VEICULOS LTDA                                                                                                              |          |             454 |  2472144.13 |      0.30
 GLOBAL    |      12 | CELULAR FUNCIONAL                                                                                                                              |          |           10750 |  2443960.32 |      0.30
 GLOBAL    |      13 | Novacar Locadora de Veículos Ltda                                                                                                              |          |             413 |  2171916.38 |      0.26
 GLOBAL    |      14 | SERV RIO TERCEIRIZAÇÃO E SERVIÇOS                                                                                                              |          |             337 |  2100689.57 |      0.25
 GLOBAL    |      15 | Cia Aérea - TAM                                                                                                                                |          |            1218 |  2022975.00 |      0.24
 GLOBAL    |      16 | FACEBOOK SERVIÇOS ONLINE DO BRASIL LTDA                                                                                                        |          |             599 |  1878425.06 |      0.23
 GLOBAL    |      17 | WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL                                                                                                  |          |             161 |  1837092.34 |      0.22
 GLOBAL    |      18 | PONTA LOCAÇÃO DE VEÍCULOS LTDA                                                                                                                 |          |             304 |  1835707.65 |      0.22
 GLOBAL    |      19 | Pontual Loc Car ltda                                                                                                                           |          |             376 |  1797433.82 |      0.22
 GLOBAL    |      20 | Facebook Serviços Online do Brasil                                                                                                             |          |             554 |  1643154.17 |      0.20
 GLOBAL    |      21 | LOCALIZA RENT A CAR SA                                                                                                                         |          |             673 |  1628815.76 |      0.20
 GLOBAL    |      22 | CTA - CLEITON TAXI AEREO LTDA                                                                                                                  |          |              62 |  1564370.00 |      0.19
 GLOBAL    |      23 | CARNAUBA ASSESSORIA DE COM E PIBLICIDADE                                                                                                       |          |              39 |  1558685.29 |      0.19
 GLOBAL    |      24 | MAIS PROPAGANDA LTDA.                                                                                                                          |          |              71 |  1537365.60 |      0.19
 GLOBAL    |      25 | FRAME COMUNICACAO DIGITAL LTDA                                                                                                                 |          |              80 |  1458636.63 |      0.18
 GLOBAL    |      26 | HORIZONTE 16 LOCADORA DE VEÍCULOS LTDA                                                                                                         |          |             155 |  1445943.60 |      0.17
 GLOBAL    |      27 | NOVITTA RENT A CAR TRANSPORTE LTDA ME                                                                                                          |          |             221 |  1416180.23 |      0.17
 GLOBAL    |      28 | FLEX MARKETING DIRETO LTDA                                                                                                                     |          |             201 |  1375500.40 |      0.17
 GLOBAL    |      29 | ELF Locadora de Veículos Ltda                                                                                                                  |          |             257 |  1352610.51 |      0.16
 GLOBAL    |      30 | LIBRE COMUNICAÇÃO E MARKETING EIRELI                                                                                                           |          |             168 |  1325316.40 |      0.16
 GLOBAL    |      31 | ORBE PRODUTORA & SERVIÇOS LTDA                                                                                                                 |          |              42 |  1294140.00 |      0.16
 GLOBAL    |      32 | CK INFO DESIGN E MIDIA SOCIAIS                                                                                                                 |          |              75 |  1260166.67 |      0.15
 GLOBAL    |      33 | AUTO LESTE LTDA                                                                                                                                |          |             135 |  1252112.00 |      0.15
